suburb,total_businesses,avg_dmi_score,avg_review_count,instagram_activity_pct,review_freshness_pct,avg_operational_maturity,updated_at
Thane East,1,67.44,68.0,100.0,100.0,47.0,2026-06-05T09:47:13
Nerul,2,62.26,68.0,100.0,100.0,37.0,2026-06-05T09:47:13
Dombivli,2,57.54,70.5,100.0,100.0,27.0,2026-06-05T09:47:13
Pune Camp,1,56.48,63.0,100.0,100.0,27.0,2026-06-05T09:47:13
Andheri,7,51.45,57.0,100.0,100.0,29.14,2026-06-05T09:47:13
Kurla,1,46.71,38.0,100.0,100.0,32.0,2026-06-05T09:47:13
Belapur,2,46.17,48.0,100.0,100.0,29.5,2026-06-05T09:47:13
Kalyan,4,43.98,45.75,75.0,100.0,29.5,2026-06-05T09:47:13
Wakad,3,43.6,48.67,100.0,100.0,23.67,2026-06-05T09:47:13
Kharghar,4,41.74,44.75,100.0,100.0,22.0,2026-06-05T09:47:13
Chembur,5,40.9,42.2,100.0,100.0,22.0,2026-06-05T09:47:13
Vashi,10,40.13,41.4,100.0,100.0,22.5,2026-06-05T09:47:13
South Mumbai,9,38.98,42.22,100.0,100.0,22.0,2026-06-05T09:47:13
Dadar,9,36.73,41.44,88.89,100.0,15.33,2026-06-05T09:47:13
Pune Central,7,35.55,36.29,100.0,100.0,17.0,2026-06-05T09:47:13
Mulund,5,35.15,39.8,100.0,100.0,15.0,2026-06-05T09:47:13
Pune East,2,33.84,39.5,100.0,100.0,12.0,2026-06-05T09:47:13
Pune West,5,32.51,35.2,100.0,100.0,12.0,2026-06-05T09:47:13
Thane West,13,32.04,31.38,100.0,100.0,14.31,2026-06-05T09:47:13
Malad,5,31.09,31.6,80.0,100.0,12.0,2026-06-05T09:47:13
Pimple Saudagar,1,29.95,39.0,100.0,100.0,12.0,2026-06-05T09:47:13
Panvel,2,28.52,34.0,50.0,100.0,12.0,2026-06-05T09:47:13
Goregaon,1,27.95,33.0,100.0,100.0,12.0,2026-06-05T09:47:13
Borivali,2,25.83,31.5,100.0,100.0,12.0,2026-06-05T09:47:13
Mira Road,2,24.2,24.0,100.0,100.0,12.0,2026-06-05T09:47:13
Hinjewadi,1,20.52,26.0,0.0,100.0,12.0,2026-06-05T09:47:13
